2019-12-08|1108
2019-12-09|1245
2019-12-10|1209
2019-12-11|1213
2019-12-12|1078
2019-12-13|977
2019-12-14|1029
2019-12-15|1002
2019-12-16|1157
2019-12-17|1124
2019-12-18|1086
2019-12-19|1076
2019-12-20|1060
2019-12-21|1029
2019-12-22|1046
2019-12-23|1152
2019-12-24|1118
2019-12-25|1088
2019-12-26|1055
2019-12-27|995
2019-12-28|983
2019-12-29|997
2019-12-30|1091
2019-12-31|1479
2020-01-01|1008
2020-01-02|1133
2020-01-03|1092
2020-01-04|1026
2020-01-05|1003
2020-01-06|1110
2020-01-07|1069
2020-01-08|1124
2020-01-09|1127
2020-01-10|1015
2020-01-11|934
2020-01-12|881
2020-01-13|1008
2020-01-14|997
2020-01-15|895
2020-01-16|631
2020-01-17|1012
2020-01-18|1033
2020-01-19|1841
2020-01-20|13351
2020-01-21|61585
2020-01-22|119548
2020-01-23|164319
2020-01-24|88212
2020-01-25|105623
2020-01-26|108452
2020-01-27|91889
2020-01-28|82686
2020-01-29|71946
2020-01-30|68624
2020-01-31|71808
2020-02-01|66347
2020-02-02|65201
2020-02-03|64890
2020-02-04|60348
2020-02-05|61564
2020-02-06|64314
2020-02-07|62262
2020-02-08|59433
2020-02-09|54765
2020-02-10|56630
2020-02-11|50848
2020-02-12|47700
2020-02-13|48382
2020-02-14|46915
2020-02-15|39551
2020-02-16|35720
2020-02-17|39253
2020-02-18|37317
2020-02-19|37287
2020-02-20|36656
2020-02-21|37567
2020-02-22|34289
2020-02-23|34089
2020-02-24|37952
2020-02-25|40536
2020-02-26|42308
2020-02-27|39185
2020-02-28|39005
2020-02-29|35285
2020-03-01|30548
2020-03-02|33733
2020-03-03|29471
2020-03-04|28706
2020-03-05|27329
2020-03-06|25062
2020-03-07|21214
2020-03-08|19116
2020-03-09|23400
2020-03-10|23791
2020-03-11|21596
2020-03-12|20653
2020-03-13|20212
2020-03-14|17190
2020-03-15|15904
2020-03-16|19210
2020-03-17|19090
2020-03-18|18491
2020-03-19|16023
2020-03-20|15367
2020-03-21|12568
2020-03-22|11453
2020-03-23|14522
2020-03-24|12491
2020-03-25|13974
2020-03-26|13824
2020-03-27|13191
2020-03-28|11783
2020-03-29|13098
2020-03-30|15833
2020-03-31|14197
2020-04-01|13953
2020-04-02|13725
2020-04-03|12987
2020-04-04|13557
2020-04-05|11736
2020-04-06|12324
2020-04-07|12052
2020-04-08|11506
2020-04-09|11117
2020-04-10|10604
2020-04-11|9767
2020-04-12|8769
2020-04-13|10958
2020-04-14|10155
2020-04-15|9693
2020-04-16|9245
2020-04-17|8782
2020-04-18|8145
2020-04-19|8071
2020-04-20|8852
2020-04-21|7940
2020-04-22|8341
2020-04-23|7801
2020-04-24|7779
2020-04-25|7279
2020-04-26|7460
2020-04-27|7442
2020-04-28|7035
2020-04-29|6244
2020-04-30|5723
2020-05-01|4157
2020-05-02|4053
2020-05-03|4128
2020-05-04|4652
2020-05-05|5055
2020-05-06|5825
2020-05-07|5406
2020-05-08|5828
2020-05-09|5488
2020-05-10|5080
2020-05-11|6521
2020-05-12|6055
2020-05-13|5460
2020-05-14|5544
2020-05-15|4714
2020-05-16|4143
2020-05-17|5197
2020-05-18|6672
2020-05-19|5843
2020-05-20|5325
2020-05-21|4718
2020-05-22|4484
2020-05-23|3751
2020-05-24|4051
2020-05-25|4635
2020-05-26|4428
2020-05-27|4187
2020-05-28|3945
2020-05-29|3442
2020-05-30|3070
2020-05-31|3251
2020-06-01|3413
2020-06-02|3476
2020-06-03|3144
2020-06-04|3381
2020-06-05|2806
2020-06-06|2519
2020-06-07|2992
2020-06-08|3061
2020-06-09|3212
2020-06-10|2692
2020-06-11|2429
2020-06-12|2356
2020-06-13|3299
2020-06-14|4383
2020-06-15|6178
2020-06-16|6987
2020-06-17|7285
2020-06-18|5929
2020-06-19|4032
2020-06-20|3373
2020-06-21|2802
2020-06-22|2847
2020-06-23|2685
2020-06-24|2213
2020-06-25|1834
2020-06-26|2006
2020-06-27|2047
2020-06-28|2063
2020-06-29|2120
2020-06-30|2031
2020-07-01|1879
2020-07-02|1807
2020-07-03|1701
2020-07-04|1741
2020-07-05|1869
2020-07-06|1866
2020-07-07|1986
2020-07-08|2024
2020-07-09|1822
2020-07-10|1763
2020-07-11|1639
2020-07-12|1647
2020-07-13|1690
2020-07-14|1739
2020-07-15|1663
2020-07-16|1633
2020-07-17|1600
2020-07-18|1602
2020-07-19|1547
2020-07-20|2284
2020-07-21|2187
2020-07-22|2288
2020-07-23|2037
2020-07-24|1850
2020-07-25|1504
2020-07-26|1588
2020-07-27|1972
2020-07-28|2222
2020-07-29|2290
2020-07-30|2185
2020-07-31|2125
2020-08-01|1650
2020-08-02|1686
2020-08-03|2193
2020-08-04|2175
2020-08-05|2158
2020-08-06|2201
2020-08-07|1716
2020-08-08|1394
2020-08-09|1291
2020-08-10|1490
2020-08-11|1491
2020-08-12|1420
2020-08-13|1467
2020-08-14|1572
2020-08-15|1521
2020-08-16|1396
2020-08-17|1527
2020-08-18|1614
2020-08-19|1547
2020-08-20|1591
2020-08-21|1657
2020-08-22|1543
2020-08-23|1544
2020-08-24|1937
2020-08-25|2315
2020-08-26|2356
2020-08-27|2461
2020-08-28|2453
2020-08-29|2328
2020-08-30|2275
2020-08-31|2704
2020-09-01|2906
2020-09-02|2594
2020-09-03|2256
2020-09-04|2107
2020-09-05|2046
2020-09-06|2090
2020-09-07|2101
2020-09-08|2146
2020-09-09|2008
2020-09-10|1976
2020-09-11|1830
2020-09-12|1684
2020-09-13|1941
2020-09-14|2092
2020-09-15|2020
2020-09-16|2135
2020-09-17|2162
2020-09-18|2100
2020-09-19|1993
2020-09-20|1904
2020-09-21|2228
2020-09-22|2366
2020-09-23|2372
2020-09-24|2285
2020-09-25|2195
2020-09-26|2128
2020-09-27|2240
2020-09-28|2160
2020-09-29|2166
2020-09-30|2010
2020-10-01|1515
2020-10-02|1443
2020-10-03|1531
2020-10-04|1875
2020-10-05|1877
2020-10-06|1976
2020-10-07|2373
2020-10-08|2724
2020-10-09|2447
2020-10-10|2218
2020-10-11|2394
2020-10-12|4032
2020-10-13|3685
2020-10-14|3084
2020-10-15|2858
2020-10-16|2844
2020-10-17|2058
2020-10-18|2283
2020-10-19|2399
